name,popularity,genres,followers,id
Destra Garcia,10,"{""soca""}",16514,2xY7ztTvCsTQGTFc0Bk1oZ
Drupatee Ramgoonai,12,"{""""}",252,0b2BvPLwaxjE6lFfwhkpGs
Peetah Morgan,40,"{""lovers rock""}",17454,6TP4fQvAG9uXcPgHEpPriw
Tanya Stephens,43,"{""dancehall"", ""dancehall queen"", ""lovers rock"", ""modern reggae"", ""old school dancehall"", ""reggae fusion""}",148187,0vL0HKEtNHGobKmDNarMFQ
Eric Hilton,38,"{""""}",8686,4tgBpjW0GVvKqP7uY2OHYB
Elin Melgarejo,32,"{""""}",380,10VTFmqxKHzKBT5Gc3pdV0
Jimmy Cliff,58,"{""reggae"", ""roots reggae""}",731779,3rJ3m1tM6vUgiWLjfV8sRf
Vashti Bunyan,50,"{""anti-folk"", ""british folk"", ""folk rock"", ""new weird america"", ""psychedelic folk"", ""singer-songwriter""}",132361,4chuPfKtATDZvbRLExsTp2
John Lester,1,"{""electric bass""}",186,7A3iDnzsO7kzGSCV6jDZ5M
spencer albee,5,"{""deep new americana""}",626,7pKdSjcDYRr01vyXggNp56
Kat Wright,25,"{""deep new americana"", ""vermont indie""}",12397,3FX6ZjUpCoJOwsxleWx2ci
[Indistinct Chatter],0,"{""""}",326,6xAtM1uyXCgFTz0qT7bwxY
McGuffey Lane,7,"{""""}",907,7bIAlWmWIBUUijORNiZzmr
Midy,8,"{""""}",519,6HKqJhJOGUZplyzOhMSJvF
Masuta,0,"{""""}",33,4cVxh8kZRb9ZhXVk0fseJm
Travis Tritt,62,"{""contemporary country"", ""country"", ""country road"", ""country rock"", ""outlaw country""}",1190944,2M4Yt7oKGoYd0wqU44k4i2
Gabriel Fauré,60,"{""classical"", ""post-romantic era""}",175317,2gClsBep1tt1rv1CN210SO
Thérèse Ryan,8,"{""""}",90,0tqgRCtHhZPoJDA2V4yC0O
Francine Chabot,8,"{""""}",17,7bbbXbQfM3KieSdlyYe5dR
Pablo Casals,41,"{""classical cello""}",40792,42ZCvzken6DllCB1xghinZ
Anonymous,55,"{""""}",14445,4kCZ5nyurc9eIqLJfUcW0Y
Trio Hochelaga,1,"{""classical piano trio""}",67,3u2g3idEWuumI5meJ28QaY
Alain Trudel,11,"{""classical performance"", ""classical trombone"", ""jazz brass""}",1556,761hGvYntTnBh3hPk7pKV4
Yannick Nézet-Séguin,54,"{""orchestral performance""}",7093,5ZGyCOrODWwaVtLSDjayl5
Sockpuppet,0,"{""gamecore""}",27,5jODC45OkKCojOQMjbWOJy
"Hank Williams, Jr.",64,"{""country"", ""country road"", ""country rock"", ""outlaw country""}",1370385,2dyeCWctcFRt3Pha76ONgb
Kid Rock,65,"{""alternative metal"", ""nu metal""}",2211656,7dOBabd5O4CvKrg4iriHTM
Nickel Creek,46,"{""bluegrass"", ""indie folk"", ""instrumental bluegrass"", ""mandolin"", ""progressive bluegrass""}",155758,3bcLBxvaI7GsBzGp3WHnwQ
Destra,46,"{""chutney"", ""dancehall"", ""soca""}",60994,0xMFjTpcN1zaf1ZU5NaNmk
Dil-E-Nadan,14,"{""""}",146,34B244yve10xAS2LK6VknY
L.A. Guns,45,"{""album rock"", ""glam metal"", ""hard rock"", ""metal"", ""rock"", ""sleaze rock""}",379232,22TEmHXBBLjTec2LOAuMdS
David Lee Roth,48,"{""album rock"", ""classic rock"", ""glam metal"", ""hard rock"", ""metal"", ""rock""}",572240,0KyCXNSa7ZMb5LydfKbLG3
Brian Young,16,"{""""}",389,5uNwgCoENIHaACxxMz4q07
Ray Luzier,24,"{""""}",430,6GkkjXQFA2i05eFQnkzAsh
James Lomenzo,18,"{""""}",54,32oqQn0a8tBCWzXpkqAmpk
Jeremy Zuckerman,32,"{""""}",10016,1fbkVAnlEb34awQtWEDa6W
Scott Page,10,"{""""}",77,096Xmebin4bIhP2bOeTjmx
Alex Gibson,5,"{""""}",19,1DnDbj9jF5izdq7pSVF9vI
Toshi Hiketa,5,"{""""}",9,5JLBbQqOKTGOZ8vYbVpAba
Nathan Jenkins,2,"{""""}",23,4Quc6qSk3Bz1SsQFnrS3CV
Edgar Winter,32,"{""blues rock"", ""classic rock"", ""country rock"", ""electric blues""}",80687,3UNrI3SG1l2ezKikxQ2zuk
Omar Hakim,16,"{""""}",1697,6jJcdCcI6czvcCnM1D1lWg
Nile Rodgers,69,"{""disco""}",97314,3yDIp0kaq9EFKe07X1X2rz
Tracy Wormsworth,7,"{""""}",1,1SIGXznxbtot1eWmpHODS0
Greg Phillinganes,36,"{""yacht rock""}",6283,6WOxIudswU8kNC2LrpeiWu
Crowell Sisters,7,"{""""}",1,2PBn70kZkzhSnr5OlKpWH6
Gregg Bissonette,33,"{""deep jazz fusion""}",2315,2eBaOuE2ZujGVsgpd9aE7Q
James Hunting,4,"{""""}",2,56RZlpb3NmnQ63Ws7zIg3O
Ron Richotte,4,"{""""}",3,4yOgff0OwmbyQvs4qoWLvM
Brett Tuggle,20,"{""""}",22,3E3gHJtgVPfVRNoR7hYtOA
Audioslave,67,"{""alternative metal"", ""alternative rock"", ""nu metal"", ""permanent wave"", ""post-grunge"", ""rock"", ""supergroup""}",3937666,2ziB7fzrXBoh1HUPS6sVFn
Sugar Blue,28,"{""blues"", ""chicago blues"", ""harmonica blues""}",9847,3HojqGF4FshKki7Ku6gPqE
(dc),13,"{""""}",1316,6oLTIy8xJUYOLHDcDmuQPl
Masego,67,"{""""}",1069762,3ycxRkcZ67ALN3GQJ57Vig
Lymbyc Systym,28,"{""american post-rock"", ""compositional ambient"", ""post-rock""}",16554,7fpjImuvKls8BeMFW9iil5
Layo & Bushwacka!,41,"{""big beat"", ""breakbeat"", ""disco house"", ""tech house"", ""vocal house""}",21407,4XO18kRHLT6F5RhomZGrpc
Dee Snider,36,"{""glam metal""}",46675,2pD123sZTm8brthWviUKlQ
Gastr Del Sol,18,"{""experimental"", ""post-rock""}",9770,6Xuaooorz7j46y1UrWxXMd
Laurie Lewis,17,"{""bluegrass"", ""old-time"", ""progressive bluegrass""}",2995,4TFUM3dwVVxsJ6vCnMDVCb
Tom Rozum,5,"{""""}",102,6m6VFecmIz71p4BuyaDKqM
Nina Gerber,12,"{""""}",313,5DiWweSGfPFwRiTFm71WrR
Tristan Clarridge,3,"{""""}",56,6krxgHrom1DHlJX6tH8iG7
T Sisters,12,"{""bay area indie"", ""oakland indie""}",2414,0ulqL4vgGZIwef3YOM0BBn
Nina Geber,0,"{""""}",1,2ng8snU5qOYFuLMjsRvAqH
Chloe Tietjen,0,"{""""}",0,0VOBfKI5SVkRtCW7LdDP6I
Leonard Cohen,64,"{""canadian singer-songwriter"", ""folk"", ""folk rock"", ""melancholia"", ""permanent wave"", ""singer-songwriter""}",2900838,5l8VQNuIg0turYE1VtM9zV
Angelo Badalamenti,45,"{""dark jazz"", ""soundtrack""}",93701,3Eeb1U0VJTDaFpBHV4DmHl
Phil Marshall,0,"{""guitar case""}",100,7E8P9rxicDcBT3dKg0sjYS
Lizzie West,14,"{""""}",2421,35xkmnLTCzElccagIuIuyP
$hoey,32,"{""tennessee hip hop""}",4311,5AcdyfWk19DsFqLUMUgtw2
YGTUT,47,"{""indie hip hop"", ""tennessee hip hop"", ""underground hip hop""}",43479,5rOkxO8Va1CnXhF7nrHMrU
Chris P,0,"{""""}",42,0IkE7L2sLehAeKClIEtM9R
Jace,49,"{""""}",6570,0vaKiuLwFJLVU664A8GTjE
Michael Da Vinci,35,"{""""}",7075,2POqOOLcEH30IODCaW1Ytw
BbyMutha,38,"{""alternative r&b"", ""escape room"", ""tennessee hip hop"", ""trap queen""}",99158,21C9Dbg9CD3Dv8NaD7iW8e
REO Speedwagon,63,"{""album rock"", ""classic rock"", ""hard rock"", ""heartland rock"", ""mellow gold"", ""rock"", ""soft rock""}",2117771,55vs7NT1KxcFjbMC4y202E
Tim Motzer,0,"{""""}",189,0Tp1ujHJ1Xou3OkVquENcs
Markus Reuter,9,"{""deep ambient"", ""experimental guitar""}",1724,0f6IsI9KHor7RWUa4H2AOi
Hubert Kah,43,"{""german pop"", ""german rock"", ""neue deutsche welle""}",30486,2ijskvLzfJbZvDXOfH6jRJ
Lil' O,36,"{""crunk"", ""deep southern trap"", ""dirty south rap"", ""dirty texas rap"", ""gangster rap"", ""houston rap""}",94185,2AT9sg0RsOjLd4gfu08Pg6
Dillanoiz,0,"{""""}",68,1eYV9P5d6ljv9Zxuv5qQbS
Hoodyy,0,"{""""}",26,0aU0TC30wOAGjoKtfA7uGt
Griffin Kenna,10,"{""""}",3104,5Onrn8NGA9PFbb8GdFQZgI
Jo G,0,"{""""}",0,3veKHe5Wj5O9XKzh13siyz
Chris G,0,"{""""}",0,5vezSpnquzSGoD2w5HeU6f
Lessun,0,"{""""}",0,3RGpNZtxQfLbXMy4mfBoqd
Flee Lord,38,"{""boom bap"", ""underground hip hop""}",25599,3I6neO2jiyMa8arh6JBe7e
TF,9,"{""""}",308,0mJvoM2A3xS3stNZReOEvJ
Matt Muse,3,"{""""}",1076,4WUHZVB8wkTnWXQGbF4SCz
Joseph Chilliams,36,"{""""}",10746,6lirZ0ouvh4l3fz3HSnIwi
Mon'aerie,1,"{""""}",39,6GdiJXKZCNrelZyhs4eg0W
Drop Trio,0,"{""""}",232,4XtnxJ8J0zXbKUzh8l0Php
Joseph Nothing,5,"{""deep idm"", ""japanese idm""}",902,4DsmYBH48QkgdG9oIDd9SR
Michael Hedges,35,"{""fingerstyle""}",35896,3IqoFUpoJi1qvebL8Vi2aK
Edward Shearmur,32,"{""british soundtrack"", ""soundtrack""}",4018,1PGSb2wgymZeNTUYqnOxyq
Jane Monheit,45,"{""adult standards"", ""contemporary vocal jazz"", ""lounge"", ""vocal jazz""}",72504,7rwI5cbw9cUKFVul2rZMiZ
Wardruna,56,"{""medieval folk"", ""nordic folk"", ""rune folk"", ""viking folk""}",546287,0NJ6wlOAsAJ1PN4VRdTPKA
Paladino,0,"{""""}",30,2zTbN8JXYocXlw4SvK1ONx
Eugene Ormandy,52,"{""orchestral performance""}",11078,3naY4Tq98GRh9K8xOsINyv
Camille Saint-Saëns,64,"{""classical"", ""french romanticism"", ""late romantic era""}",321242,436sYg6CZhNefQJogaXeK0
Charles Gounod,49,"{""classical"", ""french opera"", ""french romanticism"", ""late romantic era""}",26037,42Vmza0WYHdhsgxFmf9Tui
Arthur Fiedler,49,"{""easy listening""}",7733,2JQBcP1ceEAdwHM6cvSCv8
Modest Mussorgsky,51,"{""late romantic era"", ""russian romanticism""}",58574,284mnx33IWcymQEpMxyfHl
Hector Berlioz,40,"{""classical"", ""early modern classical"", ""french romanticism""}",101467,11T8SOX82xraocZzUXzkvM
Georges Prêtre,44,"{""classical performance"", ""opera"", ""orchestral performance""}",5671,5lfbI21DXOiKTCT3Gb802r
Edvard Grieg,63,"{""classical"", ""late romantic era"", ""norwegian classical""}",462550,5ihY290YPGc3aY2xTyx7Gy
Fritz Reiner,37,"{""classical performance"", ""historic orchestral performance"", ""orchestral performance""}",6650,4nsMLwMcViXAqwTLJ71y8i
Chicago Symphony Orchestra,54,"{""american orchestra"", ""classical"", ""classical performance"", ""orchestra""}",64811,6TD08jYeuN128P2MZTbc8E
Paul Dukas,37,"{""classical"", ""early modern classical"", ""french romanticism"", ""impressionism"", ""post-romantic era""}",9897,3KpcdlqCaWWruPfmM2rWy1
Emma Cherry,0,"{""""}",20,1cjm5RJFGrMl4SDxRSK4ub
Taktika,35,"{""hip hop quebecois""}",15898,5ArmvYVqg6FfX5Wmo8lBG3
Manu,8,"{""nantes indie""}",1079,312i4l5g2CpjzEcB5ddigF
ADN,6,"{""indie cantabria""}",757,7nSigropcQDPt7VROuQa1f
Black Taboo,27,"{""hip hop quebecois""}",6077,7l3tJokhtkXbhiV0af1Q0t
CEA,2,"{""""}",130,0AA3apZUQPGGBlE2AX3OGU
Eman,7,"{""""}",276,6VrOKmBu5uV6s723QZn1bk
GLD,14,"{""""}",922,6xfHhiRfGC5ooPSzg8zMP4
Mocy,19,"{""hip hop quebecois""}",1748,3S13XNeKQKyURgzgKXrXy2
OB1,7,"{""""}",182,0HfwE5Am1pUxZ8G1B8V5Bu
Onze,15,"{""""}",467,2oWDKuFgzNv0Nth0UxHK67
P de good Samaritans,0,"{""""}",12,00SxQuOxbtwHhEx03WKBrl
Saye,5,"{""hip hop quebecois""}",5797,4f4AbMMWNlSHCaqG2H4HQz
Shoody,12,"{""""}",214,4N601FdPpLwBr3TYoPEI6K
Souldia,50,"{""hip hop quebecois""}",56489,6ekcMUMZoiX2HBbQGZgNh1
Sozi,18,"{""hip hop quebecois""}",4965,6d9BsRPnXj8udNSCkycq0a
Webster,14,"{""hip hop quebecois""}",1977,28PFzVunbZTdeOjTBRzMTK
DJ K-Turnaz,3,"{""""}",114,67bPPAPDU3DDgtqpZYdT34
Elizabeth Blouin Brathwaite,0,"{""""}",56,5zjibIW5PNKF9HIEXFv4Yw
Canox,18,"{""hip hop quebecois""}",703,3IZF5u74YxsnB41XvzRs6x
MAX BLACK,2,"{""west australian hip hop""}",172,15qK4Jx9tO39zd6vCU75rL
Seul,0,"{""""}",11,3gaxZHtYGnSaB72B6O8BZG
Toyotomi Hideyoshi,5,"{""west australian hip hop""}",694,4VzugG06YIGZ7iofKpTou0
Rashid Kalimullin,0,"{""russian contemporary classical""}",9,38A3yUMl5xcSrXEM1tEUH2
Kayako Matsunaga,0,"{""""}",5,0t60YiPilcodWjRbVjqztz
Lennox Berkeley,13,"{""british modern classical"", ""early modern classical""}",634,2V0VrZFIcWB3jB8FXrYyQs
Michael Davis,18,"{""jazz brass""}",300,6hZnJZ1AVWEU9c1gN7M8BP
Nelson Harper,0,"{""""}",1,52m3Q9Gn7iXZcNxsvwJr2N
Dieter Acker,0,"{""german contemporary classical""}",11,0D2FTxBUZY6RBPNqCWP0OM
Duo Gelland,0,"{""""}",36,4ef4jwnJH0UKytxqJfKRqM
André Jolivet,14,"{""""}",1086,5RLjTTgn3q1gx0A514BRzx
Ann Marie Yasinitsky,0,"{""""}",3,1WlRQs6dUGQrrIY1h166pt
Gerald Berthiaume,0,"{""""}",6,51BZUmJ1238EyrIMztRIU5
Paul Hindemith,34,"{""austro-german modernism"", ""avant-garde"", ""classical"", ""contemporary classical"", ""early modern classical"", ""laboratorio"", ""neoclassicism""}",17175,3u1fWmwpwPOmMelTAo0Gb8
Gert-Rainer Schubert,0,"{""""}",0,77xqqUfVWnVV1iku2DhCO7
Shenandoah,53,"{""country"", ""country road"", ""country rock""}",396754,36eTeLNx8ErucrEyRm6JOo
Tweaker,27,"{""industrial metal"", ""industrial rock""}",17258,1rVJAf8lbrctRZklAtsyXx
Dead Or Alive,58,"{""hi-nrg"", ""new romantic"", ""new wave"", ""new wave pop"", ""synthpop""}",331592,5WWSL6rElJeUk3Uc1S2RyD
Ennio Morricone,64,"{""classic soundtrack"", ""italian soundtrack"", ""orchestral soundtrack"", ""vintage italian soundtrack""}",959569,1nIUhcKHnK6iyumRyoV68C
Keith Emerson,22,"{""art rock"", ""progressive rock"", ""rock keyboard"", ""symphonic rock""}",79424,5MwQBuYuEnf6hLsupDJ0Um
Rick Wakeman,42,"{""album rock"", ""art rock"", ""jazz fusion"", ""progressive rock"", ""rock keyboard"", ""symphonic rock""}",175242,0mkcYaXUbJUs5mJointuzB
Jordan Rudess,37,"{""neo classical metal"", ""progressive metal"", ""rock keyboard""}",60690,1eAj0NmIiXgqpy5aN4GlsS
Chuck Leavell,24,"{""piano blues""}",2867,3Dj8QpO2yUyElSCfiatKI9
Chris Ingles,2,"{""""}",44,3AV4lcqd45HIzs6fDHUaAD
David Bryan,7,"{""""}",874,5HTLcXvGX66kbvCeLn6NPB
Patrick Moraz,19,"{""art rock"", ""jazz fusion"", ""progressive rock"", ""rock keyboard"", ""symphonic rock""}",13549,5alexP1Baw0KmMEHWOEVVj
Brian Auger,31,"{""hammond organ"", ""jazz organ"", ""rock keyboard""}",8135,304senzcXGpWqcpssNpmXJ
Mark Robertson,9,"{""""}",205,63KtpwG0lJpDoZKIoH7jsC
Tony Hymas,36,"{""""}",846,6A479xP05787vKnE5MtLSG
Dizzy Reed,4,"{""""}",1131,2s6kXkIHq0sbwBjBF47iQH
Steve Porcaro,26,"{""deep soft rock""}",2171,6uJ8A4c1Z4FbHUTdhHm5dn
AJJ,53,"{""acoustic punk"", ""anti-folk"", ""folk punk"", ""indie pop""}",220261,4IDpDJIDfK96HMLD4Tphyl
The Gunshy,6,"{""folk punk""}",732,2QRbxf3N67tJNrQySSrKvK
Big Brother & The Holding Company,54,"{""blues rock"", ""classic rock"", ""psychedelic rock""}",237808,4J69yWrKwWJgjv3DKTZcGo
Janis Joplin,61,"{""blues rock"", ""classic rock"", ""psychedelic rock"", ""rock""}",2950759,4NgfOZCL9Ml67xzM0xzIvC
Flying Saucer Attack,17,"{""bristol indie"", ""dream pop"", ""drone"", ""shoegaze""}",15429,336fB3AJgK8AvHX5bD8d9A
The Exploders,6,"{""""}",673,4aQ4AvVu6QEZTDbcffjrWx
Oval,26,"{""ambient"", ""drill and bass"", ""drone"", ""experimental"", ""fourth world"", ""german techno"", ""glitch"", ""intelligent dance music"", ""microhouse"", ""minimal techno""}",23700,1Yti3CsDazWVjNMXBHx1Af
Shitmat,18,"{""breakcore"", ""drill and bass""}",9606,6mPzVfnTE4JQJAuAdz2csx
Lackluster,11,"{""finnish electronic""}",3350,40yS5szgzflPEJYj60aAXy
Proem,24,"{""abstract"", ""ambient idm"", ""deep idm"", ""drill and bass"", ""glitch"", ""intelligent dance music""}",11271,1hTlyo5QWVHUA3xUGgXqa5
Landau,1,"{""""}",187,4Gik3rZLwnT4sTjJ0OWtjA
Acda en de Munnik,49,"{""dutch cabaret"", ""dutch pop"", ""dutch rock""}",115545,040Fqhc0l7a4MPeDx6cneh
MD,13,"{""ambient idm""}",2091,5951Ow7erCwhfQSg9rY5fO
Leonard Bernstein,60,"{""american modern classical"", ""classical"", ""classical performance"", ""orchestral performance""}",178754,2LmyJyCF5V1eQyvHgJNbTn
New York Philharmonic,56,"{""american orchestra"", ""classical"", ""classical performance"", ""orchestra""}",95197,3gacryguGmpmCvgPGt2CBI
George Gershwin,50,"{""american modern classical"", ""classical"", ""early modern classical"", ""tin pan alley""}",274153,1YuknfkSYTTbolRpwZBOv4
Columbia Symphony Orchestra,45,"{""orchestra""}",1386,1iNPygduJOu0JnzasoDVLE
Gustav Mahler,54,"{""classical"", ""post-romantic era""}",263506,2ANtgfhQkKpsW6EYSDqldz
Charles Ives,27,"{""american modern classical"", ""avant-garde"", ""classical"", ""early modern classical"", ""outsider"", ""post-romantic era""}",23420,73s17iW5LTtXRMVoofi9sU
Janis Ian,44,"{""classic uk pop"", ""folk"", ""folk rock"", ""mellow gold"", ""singer-songwriter""}",129503,5c9uFWpZY2MTlk7Rft0tgp
Venetian Snares,35,"{""braindance"", ""breakcore"", ""drill and bass"", ""hardcore techno"", ""intelligent dance music""}",97171,7eKIP3IoPoUAZgZuvMM6hf
Rosie Gaines,44,"{""diva house"", ""speed garage""}",4428,1HRiWIhV7rgiL74L2AqZ5W
Jahari Massamba Unit,15,"{""""}",3478,0wQu6RGpwgoD20qNxb4vwj
Madlib,68,"{""abstract hip hop"", ""alternative hip hop"", ""hip hop"", ""psychedelic hip hop""}",383896,5LhTec3c7dcqBvpLRWbMcf
Karriem Riggins,45,"{""alternative hip hop"", ""indie jazz"", ""wonky""}",39409,6e7BQ0gM6o8ecMXRZkXxlZ
Girlschool,39,"{""hard rock"", ""metal"", ""nwobhm""}",73472,2TRtXTjjmyzK5oUGec1Gv8
Howard Givens,19,"{""""}",494,5FgruqWsEXGnJlz1BLiV9P
Craig Padilla,22,"{""ambient"", ""psychill""}",2973,5lloFkGFSO4m4XAgOpTAg1
Syndrone,1,"{""""}",487,4mXZj2vzDAEWLMYsdaFNxH
Lateduster,2,"{""""}",645,2LlR7GoseYbrwpkAiML6d7
Shari Ulrich,4,"{""canadian folk""}",381,6jkynKLYD5oRF63ii7qUn0
Tego Calderón,70,"{""latin hip hop"", ""rap boricua"", ""reggaeton"", ""trap latino""}",3696509,3SUT1jjM5hzZj9TLfLZGIP
Damian Marley,64,"{""reggae"", ""reggae fusion""}",1371832,3QJzdZJYIAcoET1GcfpNGi
Prodigy,49,"{""alternative hip hop"", ""boom bap"", ""hardcore hip hop"", ""hip hop"", ""queens hip hop""}",117614,1GwxXgEc6oxCKQ5wykWXFs
Twin,12,"{""""}",368,5I3XGdKUb0qSXuwN537cW5
Tim Armstrong,40,"{""punk"", ""ska"", ""ska punk"", ""skate punk""}",79346,7v3ZMFl1E6X4isdEaOSnk3
William Basinski,44,"{""ambient"", ""art pop"", ""compositional ambient"", ""drift"", ""drone"", ""fourth world"", ""hauntology"", ""post-rock"", ""sound art""}",100826,6u5axd0rpDsWSmzhFfb2VB
MALMØ,2,"{""aarhus indie""}",287,1S4EXeEdXBxOp2qtPf7tRB
Arnold Schoenberg,44,"{""austro-german modernism"", ""avant-garde"", ""classical"", ""early modern classical"", ""post-romantic era"", ""serialism""}",61234,5U827e4jbYz6EjtN0fIDt9
Schoenberg Quartet,6,"{""modern string quartet"", ""string quartet""}",374,3Q1P8oSPRPQDUeSSEIec0s
Susan Narucki,3,"{""""}",161,1XzA2Am2T9xgqScMxavfhB
Jan Erik van Regteren Altena,1,"{""""}",1,53NQ9XlOwaSBY8RLP9RuDX
Taco Kooistra,1,"{""""}",2,5GkTkLT7dY27aNCYb7qRKv
Janneke van der Meer,0,"{""""}",5,1nsHjt5J9ytqGwEzOuntEM
Sepp Grotenhuis,2,"{""""}",8,2qEnhhoeiPwpEQx4FEJpJi
Michael Grandage,0,"{""""}",1,5AiJ1nf9CS3MPGxLirSYF9
Henk Guittart,1,"{""""}",8,69ucfMxBxyH4p4cyE4xuXH
Viola de Hoog,5,"{""""}",73,5xNHaELlaZ81xq06cx08aO
Anton Webern,28,"{""austro-german modernism"", ""avant-garde"", ""classical"", ""early modern classical"", ""serialism""}",15522,6cg7ooZDeSSLYVTWGpASjX
Arnhem Philharmonic Orchestra,4,"{""""}",73,3cyJGibKVWn2S9i2d33LbG
Roberto Benzi,13,"{""""}",85,718Q4tbqULGeKz9S5HONdH
Michael J. Schumacher,0,"{""""}",134,4e9pM8RVpmJeuJAr4npANI
Jenn Grant,33,"{""canadian folk"", ""canadian indie"", ""canadian singer-songwriter"", ""deep new americana""}",21480,4ll7UpFe9fDtA0g16Vgf5L
Sulu Babylon,0,"{""""}",27,0XvnmEJLOvBHhUvbETV2gj
Jo Dee Messina,58,"{""contemporary country"", ""country"", ""country dawn""}",691304,3ltFy7g6KKQPPttsdOMlq3
The Plus Ones,1,"{""""}",173,1g4CNkUPnoUJiGk5LAfqM2
Faith Hill,63,"{""contemporary country"", ""country"", ""country dawn"", ""country road"", ""dance pop"", ""pop rock""}",1638810,25NQNriVT2YbSW80ILRWJa
David Arnold,50,"{""british soundtrack"", ""classic soundtrack"", ""scorecore"", ""soundtrack""}",2584,0mCdmt2O8dd8jJWv7m24EE
Nicholas Dodd,37,"{""""}",4168,4oKiOJ0qPP6TFCv6ebRFKO
Alejandra Guzman,66,"{""latin arena pop"", ""latin pop"", ""mexican pop"", ""ranchera""}",3188243,7Hf9AwMO37bSdxHb0FBGmO
Hayden,29,"{""canadian indie"", ""deep new americana"", ""modern folk rock""}",17614,2EJpeCmBlwSNpb1GcTj1xp
John Hiatt,57,"{""classic rock"", ""country rock"", ""folk"", ""folk rock"", ""heartland rock"", ""mellow gold"", ""roots rock"", ""singer-songwriter"", ""soft rock""}",186677,4Sld5LOPbAm1QSq9U32fFV
Angèle Dubeau,46,"{""compositional ambient"", ""violin""}",21354,3aKoUd44IrrqOa6Rzn9Ybq
La Pietà,45,"{""""}",3172,3ZiiIxwcdE60xHzCQ35ewj
Mike Charles,0,"{""""}",53,1wYKpk6UbbGkbwyKJdxq7g
Los Planetas,45,"{""granada indie"", ""latin rock"", ""rock andaluz"", ""spanish indie pop"", ""spanish modern rock"", ""spanish noise pop""}",150061,0N1TIXCk9Q9JbEPXQDclEL
Mokira,9,"{""dub techno"", ""glitch"", ""swedish techno""}",1495,3rdStJL3GPEj3S5y8zyvn7
Andrew Tuttle,18,"{""australian ambient"", ""australian experimental"", ""pastoral""}",1814,7oyH6DSD42pak09Jzqj9i7
Padang Food Tigers,11,"{""pastoral""}",731,6aYGWBK4DuaDxt8vN5B9gA
Chuck Johnson,24,"{""american primitive"", ""drone folk"", ""pastoral"", ""pop ambient""}",6659,5lRVe4YjX70hurTNtjek0f
Franz Lehár,35,"{""german opera"", ""operetta"", ""post-romantic era""}",8957,3O3SOoPYtUSjajTdIag0nT
Johanna Stojkovic,1,"{""""}",8,2W1yXTHrh5JvWfnq9OsBQG
Julia Bauer,4,"{""""}",16,6x9IPqXM9mUFNEumitYeUV
Johann Weigel,0,"{""""}",0,6BhlW54D28dDiUd5B2bGU5
Jan Kobow,24,"{""""}",280,0Yn468tSIsDATfHXkFmUoC
Hans Christoph Begemann,9,"{""""}",28,6wsXsZfBvaIBCELLb2mmi4
Michael Hoffmann,17,"{""""}",36,7mA8pwVp449E9LxprPBmD4
Andreas David,0,"{""""}",1,0K9erGQWUk8zG7wKf83dNn
Rudolf Tiersch,0,"{""""}",2,6Hunbtx6eE5wgu6lIHnna9
Frankfurt Singakademie,0,"{""german choir""}",1,2NCvmZ9utNLROttuh9ytiT
Frankfurt Brandenburg State Orchestra,1,"{""german orchestra""}",49,3fFgE3hES4qwH5qMoQM3ge
Frank Beermann,16,"{""""}",88,5HBd5KMnAyxKrL3yUB5z9J
Wil Wheaton,2,"{""""}",365,5fYilyvxMiNaEBs9dtuTmu
Cory Doctorow,0,"{""""}",231,377L2AyjjT7EyN4qobJ3rS
Neil Gaiman,42,"{""writing""}",16431,5Is2PjIax2qNHglzMBSRWY
Amanda Palmer,42,"{""anti-folk"", ""dark cabaret"", ""piano rock"", ""steampunk""}",152121,726Dh6A5VyDfAAQxilT6A0
Le Yu,6,"{""""}",559,6wpOwvP3e2A7BvcGa4uHP3
L'Indécis,44,"{""chillhop"", ""jazz boom bap""}",84706,5p1ichthTka1KT0iUvrlIu
Estelle Fege,6,"{""""}",98,1xGu0nvve9AONSQdkVuEog
Trifon,0,"{""""}",3,1OnK5R1tZPu81gpgWG2mH0
Kali Z,1,"{""""}",11,78be9i2B44wLBEBDKTC3MT
2 Lyricists,0,"{""""}",14,10Uzv4pH8aK7S0FA3C6V4t
Racho,0,"{""""}",25,2c1mukgae7qoyB0KfJXB96
Opus Crew,0,"{""""}",6,2C6BVvAg3n2DoabBp1i8hr
Yamcha,0,"{""""}",63,0kkEL6wl9mGYEReJZZPQca
Michael McCuistion,24,"{""""}",1394,6qDihxsWaBi3F5YG8igQiJ
Superchunk,33,"{""alternative pop"", ""alternative rock"", ""emo"", ""gbvfi"", ""indie punk"", ""indie rock"", ""lo-fi"", ""modern power pop"", ""noise pop"", ""post-hardcore"", ""power pop"", ""triangle indie""}",68214,7lmde7T1WJPFwv1eR6melP
Arizona Zervas,66,"{""pop"", ""pop rap"", ""rhode island rap"", ""viral rap""}",693103,0vRvGUQVUjytro0xpb26bs
Swae Lee,76,"{""melodic rap"", ""trap""}",1560175,1zNqQNIdeOUZHb8zbZRFMX
SABAI,53,"{""pop dance"", ""pop edm""}",18985,4OaSyxqlkp7aVpAZwF02QZ
Merseh,33,"{""""}",435,4taljiOosjIdeX91ScbQj2
Cabballero,28,"{""eurodance""}",3393,4d1voLc2lw2lwpIBTNUN7q
Thomanerchor Leipzig,37,"{""children''s choir"", ""german choir""}",3768,76HODsD07qiiAFoxCaMVIz
