name,popularity,genres,followers,id
Soul Asylum,54,"{""alternative rock"", ""grunge"", ""permanent wave"", ""pop rock"", ""post-grunge"", ""rock""}",535047,02da1vDJ2hWqfK7aJL6SJm
Natalie Imbruglia,60,"{""dance pop"", ""europop"", ""lilith"", ""new wave pop"", ""pop rock""}",831213,0dlOr0VIysztGWvU1dpjmP
Mark Plati,14,"{""""}",74,6ZspT3xZPjYVscQkAIMF0i
Norman Cooper,22,"{""""}",181,2oaT4Bh7mWfZg6O0XKr3ty
Modest Mouse,63,"{""alternative rock"", ""double drumming"", ""indie rock"", ""modern rock"", ""rock"", ""washington indie""}",1326424,1yAwtBaoHLEDWAnWR87hBT
Peter Kater,42,"{""new age""}",19739,0qfuxQiPQ79eohvARHBLFs
Blue Öyster Cult,62,"{""album rock"", ""blues rock"", ""classic rock"", ""hard rock"", ""metal"", ""rock"", ""soft rock""}",1328234,00tVTdpEhQQw1bqdu8RCx2
Sister Sadie,20,"{""neo-traditional bluegrass""}",2436,0rWSUQEtdCxT9Y1Hd0eGl8
Asleep At The Wheel,41,"{""country rock"", ""texas country""}",50414,54tWKkrjv4bQgKrQrNlecm
Built To Spill,49,"{""alternative rock"", ""anti-folk"", ""canadian indie"", ""chamber pop"", ""idaho indie"", ""indie rock"", ""lo-fi"", ""modern rock""}",262715,3kbBWco9PZ5eSQsNScwG6U
Frédéric Chopin,73,"{""classical"", ""early romantic era"", ""polish classical""}",2849460,7y97mc3bZRFXzT2szRM4L4
Vladimir Horowitz,49,"{""classical"", ""classical performance"", ""classical piano"", ""russian classical piano""}",117755,4Ws5hSoABAwvGJ4LhHwHgq
John Gorka,28,"{""contemporary folk"", ""folk"", ""lilith""}",16663,2MWKhzU2iggdtLs4xLTqrP
Wind Machine,12,"{""""}",528,29vmxj8SAUMWNxGDmxUtOz
Tylman Susato,24,"{""franco-flemish school"", ""renaissance""}",902,0Xha0wKeGIdxE5Z1jnxbUD
The University of Texas Wind Ensemble,17,"{""wind symphony""}",789,0QyjSRomk8pI4srgvJeDz0
Jerry Junkin,31,"{""""}",236,6IEFj40kRnR24S1ZuTHmnK
George Enescu,25,"{""classical""}",8402,7KKscZTeDLz1g0QthWCMQV
Minnesota Orchestra,32,"{""american orchestra"", ""orchestra""}",5908,3Kc4x6BFeZVfx0mAgnDykn
Eiji Oue,19,"{""japanese classical performance"", ""orchestral performance""}",674,0HWPIGRL1eXG4wSwTNlvQN
Gabriela Lena Frank,4,"{""american 21st century classical""}",841,6IMJSmu34MID4QPYxhMD6Z
Utah Symphony Orchestra,35,"{""american orchestra"", ""orchestra""}",2364,0nUgGmqaWapTF9BiRDBmJp
Keith Lockhart,33,"{""""}",686,3xXehPffJ4rtaaCbqDwVJ3
Franz Liszt,61,"{""classical"", ""late romantic era""}",682010,1385hLNbrnbCJGokfH2ac2
Felix Hell,2,"{""classical organ""}",337,3msvlMwebr9Lv7TbsLOSeI
Sergei Rachmaninoff,62,"{""classical"", ""post-romantic era"", ""russian romanticism"", ""ukrainian classical""}",564305,0Kekt6CKSo0m5mivKcoH51
Joel Fan,14,"{""american classical piano""}",834,6xhtcDhtGWHQefNtwMWaRJ
Dominick Argento,7,"{""american modern classical""}",276,0dFtVIepmvSVnZ1G3NxY6g
Richard Danielpour,7,"{""american contemporary classical"", ""contemporary classical""}",586,1X2h9tAUKWnt3RlUDHzfaA
